City_State,Timestamp,Traffic_Congestion (%),Avg_Vehicle_Speed (MPH),PM2.5_Level (µg/m³),CO2_Emissions (Metric Tons),Noise_Pollution (dB),Renewable_Energy (%),Electricity_Consumption (MWh),Water_Consumption (Million Gallons),Temperature (°F),Sensor_Reliability (0-1),Traffic_Incident,Weather_Condition
"Philadelphia, PA",03-01-2024 02:00,26,18,46.99,128.15,72,47.54,2851.64,95.2,72.7,1,Event Nearby,Foggy
"New York, NY",03-01-2024 03:00,41,63,34.01,248.01,61,28.84,2182.09,80.2,83.1,0.83,Heavy Traffic,Cloudy
"Dallas, TX",03-01-2024 04:00,43,53,26.55,321.94,40,37.48,3979.24,115.79,56.9,0.97,Clear,Cloudy
"Chicago, IL",03-01-2024 05:00,39,67,38.7,63.08,42,14.69,1761.83,80.01,46.4,0.95,Heavy Traffic,Rainy
"Dallas, TX",03-01-2024 06:00,82,53,40.68,120.01,60,25.71,2866.96,184.85,76.6,0.77,Event Nearby,Sunny
"Los Angeles, CA",03-01-2024 07:00,72,35,6.56,256.4,64,66,3264.51,145.3,74.1,0.78,Event Nearby,Sunny
"San Diego, CA",03-01-2024 08:00,93,19,10.83,223.63,76,73.36,3478.79,106.14,83.1,0.99,Heavy Traffic,Rainy
"Dallas, TX",03-01-2024 09:00,85,58,23.49,232.33,59,17.72,4788.27,153.6,65.6,0.77,Event Nearby,Foggy
"Chicago, IL",03-01-2024 10:00,72,40,28.41,131.49,62,50.79,2750.06,84.83,54,0.97,Heavy Traffic,Sunny
"New York, NY",03-01-2024 11:00,68,45,19.77,252.69,47,18.25,4547.76,166.6,57.6,0.95,Road Construction,Foggy
"San Antonio, TX",03-01-2024 12:00,76,55,21.74,193.54,65,75.44,2800.58,181.01,44.2,0.95,Clear,Foggy
"New York, NY",03-01-2024 13:00,33,36,30.6,346.42,59,41.07,3303.92,177.22,47.4,0.81,Event Nearby,Rainy
"San Jose, CA",03-01-2024 14:00,31,30,31.5,261.08,88,41.75,4716.96,119.76,69.6,0.8,Heavy Traffic,Rainy
"Phoenix, AZ",03-01-2024 15:00,58,52,11.36,331.35,58,36.21,4775.41,18.28,32.1,0.87,Heavy Traffic,Sunny
"Philadelphia, PA",03-01-2024 16:00,80,32,38.92,287.63,83,19.99,3317.34,70.09,65.8,0.88,Clear,Sunny
"Phoenix, AZ",03-01-2024 17:00,22,33,7.77,328.09,73,59.55,4187.41,67.63,41.8,0.88,Accident,Snowy
"Houston, TX",03-01-2024 18:00,21,48,34.87,270.57,71,32.22,3271.25,64.66,48.9,0.89,Heavy Traffic,Foggy
"Chicago, IL",03-01-2024 19:00,32,29,13.39,360.62,61,51.58,2320.53,66.2,57.2,0.97,Clear,Snowy
"Chicago, IL",03-01-2024 20:00,93,37,12.86,228.38,70,54.39,1050.91,156.35,97.5,0.93,Accident,Sunny
"San Antonio, TX",03-01-2024 21:00,38,47,8.07,159.12,46,57.31,2669.52,108.57,74.7,0.74,Clear,Snowy
"Chicago, IL",03-01-2024 22:00,42,65,45.14,191.84,75,38.76,3655.34,192.42,70.3,0.82,Accident,Sunny
"Chicago, IL",03-01-2024 23:00,68,62,47.11,183.51,58,60.97,1155.55,147.38,52.4,0.78,Accident,Rainy
"Phoenix, AZ",04-01-2024 00:00,32,39,25.64,167.22,59,33.98,3476.37,155.76,52,0.86,Heavy Traffic,Snowy
"San Jose, CA",04-01-2024 01:00,63,26,45.59,391.03,43,29.92,1473.2,144.03,80.2,0.82,Clear,Cloudy
"Philadelphia, PA",04-01-2024 02:00,40,46,35.62,172.9,42,37.95,1708.02,123.56,39.4,0.83,Clear,Sunny
"Dallas, TX",04-01-2024 03:00,90,34,35.35,265,45,67.53,3069.46,50.64,77.5,0.98,Event Nearby,Sunny
"Los Angeles, CA",04-01-2024 04:00,36,67,20.81,125.02,84,62.56,4583.85,43.36,49.8,0.89,Heavy Traffic,Snowy
"Phoenix, AZ",04-01-2024 05:00,39,18,34.2,279.11,59,73.2,2440.08,112.68,77.3,0.73,Clear,Sunny
"Dallas, TX",04-01-2024 06:00,89,36,32.28,113.49,79,16.68,2720.9,70.36,98.7,0.92,Heavy Traffic,Snowy
"Phoenix, AZ",04-01-2024 07:00,74,44,15.79,329.62,61,57.16,1744.21,74.37,90.6,0.83,Clear,Cloudy
"Philadelphia, PA",04-01-2024 08:00,49,24,9.61,79.38,87,37.8,2985.11,104.55,65.3,0.85,Event Nearby,Rainy
"Dallas, TX",04-01-2024 09:00,49,66,6.02,207.01,51,73.24,3222.01,14.24,87.6,0.93,Clear,Sunny
"San Diego, CA",04-01-2024 10:00,21,35,34.42,375.32,45,43.49,2241.76,158.93,36.4,0.83,Clear,Rainy
"Houston, TX",04-01-2024 11:00,49,63,29.95,281.99,49,60.84,1595.1,60.82,94.2,0.89,Road Construction,Foggy
"Phoenix, AZ",04-01-2024 12:00,86,20,48.62,153.3,86,39.58,2340.52,70.06,53.8,0.89,Clear,Snowy
"San Antonio, TX",04-01-2024 13:00,88,39,14.64,326.42,51,65.87,1543.49,67.63,70.6,0.95,Clear,Rainy
"San Jose, CA",04-01-2024 14:00,34,63,11.22,182.58,73,25.78,3480.76,152.74,44.5,0.76,Event Nearby,Sunny
"New York, NY",04-01-2024 15:00,31,29,21.29,261.77,60,72.27,2586.38,22.03,89.8,0.81,Heavy Traffic,Sunny
"San Antonio, TX",04-01-2024 16:00,60,47,32.08,137.2,45,54.11,1857.9,122.32,86.2,0.9,Accident,Rainy
"Los Angeles, CA",04-01-2024 17:00,76,18,33.83,217.27,58,63.91,3492.06,41.84,45.4,0.95,Heavy Traffic,Foggy
"Chicago, IL",04-01-2024 18:00,31,39,20.7,214.33,87,27.71,3020.26,45.72,66.7,0.95,Event Nearby,Sunny
"Chicago, IL",04-01-2024 19:00,84,15,42.3,316.49,83,28.49,4310.19,181.43,67.1,0.74,Accident,Cloudy
"San Antonio, TX",04-01-2024 20:00,88,25,23.47,317.49,78,50.77,3005.98,195.23,65,0.89,Road Construction,Foggy
"Los Angeles, CA",04-01-2024 21:00,21,39,18.4,51.32,81,58.03,2075.37,56.15,34.8,0.89,Road Construction,Rainy
"San Jose, CA",04-01-2024 22:00,47,48,8.8,287.35,54,67.76,3617.35,75.33,87.7,0.74,Clear,Sunny
"Philadelphia, PA",04-01-2024 23:00,58,16,33.21,342.3,74,60.49,4074.6,93.65,96.6,0.75,Accident,Rainy
"Phoenix, AZ",05-01-2024 00:00,67,49,39.99,102.3,66,29.11,1856.23,59.85,70,0.97,Event Nearby,Rainy
"Chicago, IL",05-01-2024 01:00,32,62,41.26,154.11,50,11.24,4222.75,41.67,70.2,0.74,Heavy Traffic,Sunny
"Houston, TX",05-01-2024 02:00,81,41,21.52,389.77,55,29.1,1904.81,122.42,52.4,0.87,Accident,Cloudy
"Los Angeles, CA",05-01-2024 03:00,70,28,33.16,247.42,87,24.19,2560.86,174.21,49.3,0.88,Clear,Rainy
"New York, NY",05-01-2024 04:00,27,36,43.8,282.35,87,49.91,4559.47,122.32,46,0.89,Road Construction,Rainy
"Los Angeles, CA",05-01-2024 05:00,22,51,34.11,329.83,53,20.38,1931.9,69.8,91.9,0.88,Clear,Cloudy
"San Antonio, TX",05-01-2024 06:00,31,22,17.17,214.72,53,75.21,1645.42,39.95,68.6,0.97,Clear,Snowy
"Phoenix, AZ",05-01-2024 07:00,41,33,20.24,391.53,53,54.31,3901.52,37.44,83.2,0.76,Accident,Sunny
"New York, NY",05-01-2024 08:00,44,63,29.27,106.15,52,33.15,4278.87,57.88,70.4,0.77,Road Construction,Sunny
"San Jose, CA",05-01-2024 09:00,22,20,21.01,230.89,47,17.96,2734.63,92.37,99.1,0.96,Clear,Snowy
"San Jose, CA",05-01-2024 10:00,81,65,5.17,177.52,87,53.08,4782.46,14.81,62.6,0.95,Event Nearby,Foggy
"Philadelphia, PA",05-01-2024 11:00,45,57,38.77,230.8,45,28.19,4057.7,115.41,59.6,0.9,Clear,Snowy
"Phoenix, AZ",05-01-2024 12:00,74,21,28.28,122.33,67,48.3,1094.63,50.64,75.5,0.76,Event Nearby,Foggy
"San Diego, CA",05-01-2024 13:00,88,68,37.06,250.29,64,36.47,3245.1,188.61,42.4,0.82,Accident,Snowy
"Philadelphia, PA",05-01-2024 14:00,63,55,9.89,326.68,68,38.96,1933.4,127.73,73.1,0.77,Accident,Rainy
"San Jose, CA",05-01-2024 15:00,94,52,16.41,280.85,65,13.42,1616.35,102.83,47.7,0.94,Event Nearby,Sunny
"Phoenix, AZ",05-01-2024 16:00,85,69,20.94,200.9,49,70.42,3197.11,64.74,64.2,0.78,Clear,Rainy
"Dallas, TX",05-01-2024 17:00,24,20,19.87,223.64,71,42.06,2653.81,132.28,92.2,0.95,Accident,Cloudy
"New York, NY",05-01-2024 18:00,90,58,11.35,280.77,53,65.42,3543.79,43.26,63.4,0.81,Accident,Cloudy
"Dallas, TX",05-01-2024 19:00,88,63,44.91,171.13,87,39.32,3447.44,80.18,42.5,0.78,Road Construction,Cloudy
"Chicago, IL",05-01-2024 20:00,43,29,10.24,214.95,46,47.84,1773.98,95.41,53.7,0.95,Heavy Traffic,Rainy
"New York, NY",05-01-2024 21:00,23,34,48.28,255.06,88,65.56,2189.89,146.57,36.5,0.84,Road Construction,Cloudy
"Dallas, TX",05-01-2024 22:00,59,45,10.56,100.26,42,19.85,4564.1,103.69,89.6,0.78,Event Nearby,Foggy
"Chicago, IL",05-01-2024 23:00,28,69,31.78,213.29,64,26.3,2403.98,86.63,76.8,0.96,Clear,Sunny
"Philadelphia, PA",06-01-2024 00:00,36,36,38.83,267.23,76,13.02,1508.76,96.04,51,0.89,Heavy Traffic,Foggy
"San Jose, CA",06-01-2024 01:00,52,63,44.42,330.95,46,58.48,1462.31,13.17,44.1,0.97,Event Nearby,Foggy
"Phoenix, AZ",06-01-2024 02:00,75,43,34.87,157.66,57,25.22,1287.96,103.33,39.8,0.98,Clear,Snowy
"Houston, TX",06-01-2024 03:00,69,15,13.67,185.4,79,40.31,2216.59,95.36,44,0.87,Accident,Rainy
"San Antonio, TX",06-01-2024 04:00,87,36,37.68,109.94,77,66.8,4301.76,185.78,76.1,0.99,Heavy Traffic,Foggy
"Dallas, TX",06-01-2024 05:00,50,16,49.48,237.21,73,62.39,4733.86,37.18,94,0.78,Clear,Rainy
"San Antonio, TX",06-01-2024 06:00,94,49,47.76,290.1,50,64.14,2917.66,161.6,60.1,0.75,Road Construction,Sunny
"Philadelphia, PA",06-01-2024 07:00,20,18,19.43,264.17,77,21.26,3949.02,194.49,81.8,0.91,Event Nearby,Sunny
"Los Angeles, CA",06-01-2024 08:00,31,69,24.5,322.5,53,74.89,2804.86,104.16,50.6,0.94,Heavy Traffic,Foggy
"New York, NY",06-01-2024 09:00,23,20,7.26,301.1,87,48.34,3057.74,161.78,38.1,0.82,Road Construction,Rainy
"Chicago, IL",06-01-2024 10:00,54,20,14.07,257.48,59,66.62,1328.02,47.79,91.4,0.7,Accident,Cloudy
"Houston, TX",06-01-2024 11:00,35,29,47.15,365.48,73,42.95,1148.3,16.51,53,0.81,Heavy Traffic,Sunny
"San Diego, CA",06-01-2024 12:00,46,31,7.13,213.2,56,48.7,1103.47,135.34,71.1,0.92,Clear,Foggy
"Houston, TX",06-01-2024 13:00,90,28,45.42,227.71,70,33.79,2396.39,160.45,89.7,0.72,Accident,Cloudy
"Chicago, IL",06-01-2024 14:00,38,20,27.52,240.92,88,42.94,4158.67,56.76,53.6,0.94,Road Construction,Cloudy
"Houston, TX",06-01-2024 15:00,50,61,8.55,350.24,72,58.49,1121.27,15.82,80.6,0.79,Clear,Sunny
"Chicago, IL",06-01-2024 16:00,49,62,25.21,120.12,64,27.81,2316.02,36.25,59.6,0.9,Event Nearby,Cloudy
"New York, NY",06-01-2024 17:00,67,60,48.41,337.39,61,68.34,2711.99,55.31,90.2,0.98,Clear,Cloudy
"Dallas, TX",06-01-2024 18:00,93,40,13.34,92.18,53,19.13,2377.15,187.75,65.7,0.85,Heavy Traffic,Rainy
"San Jose, CA",06-01-2024 19:00,49,63,34.79,113.17,58,31.41,1340.03,148.8,73,0.98,Clear,Sunny
"Houston, TX",06-01-2024 20:00,94,62,29.93,336.5,80,35,1588.09,107.3,88.7,0.91,Accident,Cloudy
"San Antonio, TX",06-01-2024 21:00,34,16,19.81,78.03,44,28.2,2101.39,123.35,83.8,0.85,Road Construction,Rainy
"Los Angeles, CA",06-01-2024 22:00,71,53,32.33,279.57,82,10.43,4269.05,104.38,66.2,0.74,Event Nearby,Snowy
"Phoenix, AZ",06-01-2024 23:00,50,23,22.35,131.76,54,21.76,4834.13,178.4,57.9,0.7,Road Construction,Sunny
"New York, NY",07-01-2024 00:00,88,20,22.21,52.95,64,63.33,3129.74,142.7,47.5,0.82,Clear,Cloudy
"Los Angeles, CA",07-01-2024 01:00,60,17,8.34,81.32,62,58.15,3274.32,123.63,32.7,0.96,Heavy Traffic,Cloudy
"San Diego, CA",07-01-2024 02:00,67,46,33.58,70.76,78,59.29,2093.11,190.7,74.3,0.73,Clear,Cloudy
"Phoenix, AZ",07-01-2024 03:00,42,32,15.06,389.22,47,49.11,1400.35,167.15,41,0.74,Road Construction,Snowy
"San Jose, CA",07-01-2024 04:00,55,28,42.25,341.83,72,66.3,4069.73,128.92,73.1,0.73,Heavy Traffic,Snowy
"Phoenix, AZ",07-01-2024 05:00,46,29,27.17,251.36,89,51.28,2673.69,143.01,37.1,0.74,Heavy Traffic,Foggy
"Philadelphia, PA",07-01-2024 06:00,91,48,22.84,137.33,89,19.19,3004.47,150.57,84.3,0.78,Heavy Traffic,Cloudy
"Phoenix, AZ",07-01-2024 07:00,63,63,47.13,143.42,80,10.8,1270.46,66.82,85,0.95,Heavy Traffic,Snowy
"Philadelphia, PA",07-01-2024 08:00,68,54,46.15,292.89,49,61.28,2249.44,193.3,85.8,0.72,Accident,Rainy
"San Jose, CA",07-01-2024 09:00,59,49,24.55,335.49,51,57.36,1630.39,66.62,75.5,0.98,Clear,Cloudy
"Los Angeles, CA",07-01-2024 10:00,33,43,26.89,121.25,79,63.31,2337.97,117.49,93.3,0.82,Clear,Foggy
"Philadelphia, PA",07-01-2024 11:00,42,41,17.72,169.52,66,52.89,3531.12,106.24,74.4,0.73,Road Construction,Rainy
"San Jose, CA",07-01-2024 12:00,62,15,17.49,306.44,54,11.58,3584.49,82.32,63.2,0.72,Heavy Traffic,Cloudy
"Dallas, TX",07-01-2024 13:00,68,42,43.08,251.28,51,46.51,3019,68.77,64.9,0.73,Accident,Snowy
"Los Angeles, CA",07-01-2024 14:00,38,26,43.66,339,76,48.34,2298.18,181.29,64,0.88,Heavy Traffic,Snowy
"San Antonio, TX",07-01-2024 15:00,68,39,7.91,355.63,78,78.61,2890.36,78.37,47.4,0.97,Heavy Traffic,Snowy
"San Jose, CA",07-01-2024 16:00,51,55,33.36,145.8,54,47.1,4649.33,122.38,91.1,0.76,Accident,Foggy
"Chicago, IL",07-01-2024 17:00,42,47,12.2,103.69,52,59.11,3263.74,71.34,43.3,0.83,Road Construction,Snowy
"Phoenix, AZ",07-01-2024 18:00,57,69,29.5,56.37,70,34.7,1738.75,90.86,59.9,0.82,Heavy Traffic,Cloudy
"Dallas, TX",07-01-2024 19:00,89,16,28.61,97.81,54,23.02,3608.03,13.02,67.3,0.92,Accident,Foggy
"Houston, TX",07-01-2024 20:00,54,53,8.84,373.66,71,47.21,4204.46,67.93,53.6,0.77,Event Nearby,Foggy
"New York, NY",07-01-2024 21:00,58,50,15.67,274.85,66,28.37,1560.03,49.05,90.8,0.72,Clear,Cloudy
"Dallas, TX",07-01-2024 22:00,23,64,5.97,167.7,57,52.4,2839.22,82.33,91.8,0.85,Event Nearby,Cloudy
"Philadelphia, PA",07-01-2024 23:00,49,34,10.81,309.34,49,74.19,3016.66,91.97,62.8,0.93,Clear,Rainy
"San Antonio, TX",08-01-2024 00:00,23,50,24.73,83.06,72,19.99,2152.88,124.69,92,0.86,Accident,Foggy
"Philadelphia, PA",08-01-2024 01:00,33,63,32.96,348,77,18.89,4611.28,172.91,70,0.95,Heavy Traffic,Foggy
"Phoenix, AZ",08-01-2024 02:00,92,62,28.57,58.17,71,35.48,4992.25,171.21,93.5,0.9,Clear,Rainy
"Philadelphia, PA",08-01-2024 03:00,29,60,33.31,197.14,64,59.38,2153.86,14.54,33.3,0.73,Road Construction,Cloudy
"Chicago, IL",08-01-2024 04:00,52,51,5.38,336.31,71,19.15,3096.08,93.17,96.3,0.95,Clear,Cloudy
"Dallas, TX",08-01-2024 05:00,31,33,31.85,250.73,45,68.56,2599.35,120.24,35,0.83,Event Nearby,Rainy
"Philadelphia, PA",08-01-2024 06:00,74,24,36.01,242.84,86,22.94,2286.61,156.26,99,0.89,Road Construction,Foggy
"Los Angeles, CA",08-01-2024 07:00,54,39,21.89,62.37,62,32.83,4754.19,97.94,84.3,0.76,Heavy Traffic,Rainy
"Philadelphia, PA",08-01-2024 08:00,34,42,22.52,297.17,67,10.57,4309.35,27.62,66.1,0.96,Clear,Rainy
"Dallas, TX",08-01-2024 09:00,48,36,15.36,100.82,76,25.74,2679.12,62.57,95.4,0.91,Event Nearby,Cloudy
"New York, NY",08-01-2024 10:00,69,44,42.8,336.9,87,14.34,4251.22,15.54,59.9,0.74,Accident,Cloudy
"Dallas, TX",08-01-2024 11:00,29,42,29.73,198.07,78,76.76,2923.38,134.2,92.7,0.71,Event Nearby,Rainy
"San Antonio, TX",08-01-2024 12:00,23,58,19.83,170.81,54,47.87,4643.76,52.64,44.1,0.89,Road Construction,Foggy
"Chicago, IL",08-01-2024 13:00,50,23,18.07,175.56,77,47.76,3509.55,49.76,46.7,0.83,Accident,Snowy
"San Diego, CA",08-01-2024 14:00,84,48,10.45,231.17,56,17.68,3614.38,102.83,82,1,Clear,Foggy
"San Jose, CA",08-01-2024 15:00,89,36,16.48,164.11,52,38.51,1981.51,106.43,55.1,0.77,Clear,Cloudy
"Dallas, TX",08-01-2024 16:00,22,38,16.49,152.44,66,28.18,4811.42,14.91,57.6,0.79,Heavy Traffic,Sunny
"San Diego, CA",08-01-2024 17:00,56,57,35.47,238.24,44,31.79,1097.83,88.14,34.5,0.78,Accident,Foggy
"Phoenix, AZ",08-01-2024 18:00,56,54,31.17,127.27,78,20.83,2682.28,77.96,35.3,0.98,Clear,Sunny
"New York, NY",08-01-2024 19:00,48,64,25.67,292.49,64,14.18,1041.27,92.79,56.9,0.73,Heavy Traffic,Sunny
"San Diego, CA",08-01-2024 20:00,72,62,25.95,230.78,52,78.14,2767.42,52.65,87.9,0.73,Clear,Foggy
"New York, NY",08-01-2024 21:00,56,23,9.88,203.38,79,25.98,2877.82,118.84,86.8,0.84,Accident,Sunny
"Phoenix, AZ",08-01-2024 22:00,64,48,11.89,129.42,71,44.53,4617.54,10.27,36.9,0.89,Accident,Foggy
"New York, NY",08-01-2024 23:00,81,26,41.93,115.81,67,48,4632.44,65.83,64.6,0.98,Heavy Traffic,Sunny
"Phoenix, AZ",09-01-2024 00:00,92,67,29.18,203.38,40,10.2,2787.1,191.24,59.1,0.73,Clear,Sunny
"Chicago, IL",09-01-2024 01:00,49,29,34.32,90.62,73,68.04,1239.3,106.14,60.2,0.86,Heavy Traffic,Snowy
"San Diego, CA",09-01-2024 02:00,33,30,13.21,133.25,77,47.66,4899.45,69.64,88.9,0.72,Accident,Foggy
"Philadelphia, PA",09-01-2024 03:00,34,65,41.59,307.17,84,38.61,3877.58,173.8,78,0.77,Heavy Traffic,Rainy
"San Diego, CA",09-01-2024 04:00,66,50,43.75,194.25,54,63.27,4600.93,115.79,84.7,0.99,Road Construction,Cloudy
"New York, NY",09-01-2024 05:00,65,35,37.18,313.03,71,75.33,2281.52,50.37,59.7,0.7,Heavy Traffic,Foggy
"New York, NY",09-01-2024 06:00,94,68,12.54,282.27,43,76.3,3891.49,23.72,31,0.89,Clear,Snowy
"Los Angeles, CA",09-01-2024 07:00,42,43,45.43,55.25,57,25.72,2367.23,11.14,68.4,0.83,Clear,Rainy
"Phoenix, AZ",09-01-2024 08:00,68,24,29.79,369.4,75,44.15,4744.51,111.67,44.8,0.73,Heavy Traffic,Snowy
"Chicago, IL",09-01-2024 09:00,91,54,30.98,374.21,43,74.36,3777.04,112,83.2,0.81,Accident,Sunny
"Philadelphia, PA",09-01-2024 10:00,47,40,47.5,82.06,73,74.81,4435.57,41.2,80.6,0.82,Clear,Cloudy
"New York, NY",09-01-2024 11:00,73,51,29.03,60.39,80,17.5,2148.29,95.14,80.7,0.91,Accident,Cloudy
"Los Angeles, CA",09-01-2024 12:00,27,38,13.11,157.95,77,30.39,3311.14,83.86,56.6,0.96,Clear,Rainy
"Dallas, TX",09-01-2024 13:00,80,58,41.52,91.48,40,32.12,3355.13,160.86,71.8,0.97,Clear,Sunny
